time,speed,gear,rpm,gas,brake
1779503642.0243545,92.09362030029297,2,9119,0.0,0.5871000289916992
1779503642.0752978,88.86803436279297,2,8905,0.0,0.5996999740600586
1779503642.1262686,85.69915008544922,2,8601,0.0,0.61080002784729
1779503642.177539,82.6186752319336,2,8296,0.0,0.5837500095367432
1779503642.2285237,79.6632080078125,2,8007,0.0,0.5715500116348267
1779503642.279396,76.80225372314453,2,7746,0.0,0.5354999899864197
1779503642.330572,74.17881774902344,2,7517,0.0,0.4710000157356262
1779503642.381809,71.89167022705078,2,7311,0.0,0.4180000126361847
1779503642.4328942,69.89031982421875,2,7131,0.0,0.3375999927520752
1779503642.4838989,68.35165405273438,2,7011,0.0,0.2540000081062317
1779503642.5350044,67.11247253417969,2,6893,0.0,0.21819999814033508
1779503642.586133,66.03546905517578,2,6788,0.0,0.19425001740455627
1779503642.6372464,65.06684112548828,2,6698,0.0,0.1620500087738037
1779503642.6883729,64.34666442871094,2,6638,0.0,0.08580002188682556
1779503642.7389631,63.92762756347656,2,6592,0.0,0.0
1779503642.790203,63.61976623535156,2,6560,0.0,0.0
1779503642.841372,63.311763763427734,2,6528,0.0,0.0
1779503642.8928463,63.002567291259766,2,6497,0.0,0.0
1779503642.9438934,62.67903137207031,2,6462,0.0,0.0
1779503642.9953556,62.369850158691406,2,6433,0.0,0.0
1779503643.0463538,62.06454086303711,2,6402,0.0,0.0
1779503643.0975134,61.7639274597168,2,6369,0.0,0.0
1779503643.1486151,61.46394348144531,2,6338,0.0,0.0
1779503643.199759,61.16421890258789,2,6309,0.0,0.0
1779503643.2508507,60.87026596069336,2,6277,0.0,0.0
1779503643.3025587,60.57437515258789,2,6249,0.0,0.0
1779503643.3539274,60.2838020324707,2,6219,0.0,0.0
1779503643.4048011,59.99800491333008,2,6188,0.0,0.0
1779503643.4561667,59.71098709106445,2,6159,0.0,0.0
1779503643.5069892,59.424930572509766,2,6130,0.0,0.0
1779503643.5579042,59.14282989501953,2,6101,0.0,0.0
1779503643.609323,58.86146926879883,2,6074,0.0,0.0
1779503643.6602705,58.58378982543945,2,6045,0.0,0.0
1779503643.7116191,58.310523986816406,2,6016,0.0,0.0
1779503643.7625787,58.035762786865234,2,5988,0.0,0.0
1779503643.8139248,57.68940734863281,2,5953,0.0,0.05870002508163452
1779503643.8651996,57.181453704833984,2,5903,0.0,0.10875001549720764
1779503643.916223,56.580204010009766,2,5835,0.0,0.13670000433921814
1779503643.9673467,55.880882263183594,2,5760,0.0,0.1519000232219696
1779503644.01855,55.122257232666016,2,5679,0.0,0.1647000014781952
1779503644.069541,54.29925537109375,2,5591,0.0,0.18334999680519104
1779503644.1205285,53.37628936767578,2,5490,0.0,0.20900002121925354
1779503644.1728854,52.37052917480469,2,5387,0.0,0.21854999661445618
1779503644.2241173,51.32724380493164,2,5277,0.0,0.23510000109672546
1779503644.2752752,50.18183898925781,2,5153,0.0,0.2678999900817871
1779503644.3261325,48.90096664428711,2,5016,0.0,0.2911500036716461
1779503644.3770325,47.52123260498047,2,4870,0.0,0.31755000352859497
1779503644.4282749,46.03118133544922,2,4714,0.0,0.3386499881744385
1779503644.4793522,44.46104431152344,2,4549,0.0,0.35740000009536743
1779503644.5306816,42.82145309448242,2,4379,0.0,0.37389999628067017
1779503644.5817032,41.106624603271484,2,4200,0.0,0.3930000066757202
1779503644.6327968,39.22695541381836,2,4008,0.0,0.4032000005245209
1779503644.6844404,37.42116928100586,2,3821,0.0,0.41715002059936523
1779503644.7355788,35.57173156738281,2,3634,0.0,0.4231500029563904
1779503644.7863755,33.71574401855469,2,3443,0.0,0.4290499985218048
1779503644.8377793,31.84090232849121,2,3250,0.0,0.43904998898506165
1779503644.8886409,29.924179077148438,2,3054,0.0,0.4499000012874603
1779503644.9397073,28.009544372558594,2,2876,0.0,0.45890000462532043
1779503644.9908826,26.171039581298828,2,2679,0.0,0.4618000090122223
1779503645.0420897,24.32634162902832,2,2488,0.0,0.45559999346733093
1779503645.0932417,22.548908233642578,2,2310,0.0,0.43369999527931213
1779503645.144643,21.948875427246094,2,2252,0.0,0.41815000772476196
